some random text for testing purposes ...

| Character | ASCII Code | 8-bit ASCII (Binary) | Hexadecimal |
|-----------|------------|----------------------|-------------|
| s         | 115        | 01110011             | 73          |
| o         | 111        | 01101111             | 6F          |
| m         | 109        | 01101101             | 6D          |
| e         | 101        | 01100101             | 65          |
| (space)   | 32         | 00100000             | 20          |
| r         | 114        | 01110010             | 72          |
| a         | 97         | 01100001             | 61          |
| n         | 110        | 01101110             | 6E          |
| d         | 100        | 01100100             | 64          |
| o         | 111        | 01101111             | 6F          |
| m         | 109        | 01101101             | 6D          |
| (space)   | 32         | 00100000             | 20          |
| t         | 116        | 01110100             | 74          |
| e         | 101        | 01100101             | 65          |
| x         | 120        | 01111000             | 78          |
| t         | 116        | 01110100             | 74          |
| (space)   | 32         | 00100000             | 20          |
| f         | 102        | 01100110             | 66          |
| o         | 111        | 01101111             | 6F          |
| r         | 114        | 01110010             | 72          |
| (space)   | 32         | 00100000             | 20          |
| t         | 116        | 01110100             | 74          |
| e         | 101        | 01100101             | 65          |
| s         | 115        | 01110011             | 73          |
| t         | 116        | 01110100             | 74          |
| i         | 105        | 01101001             | 69          |
| n         | 110        | 01101110             | 6E          |
| g         | 103        | 01100111             | 67          |
| (space)   | 32         | 00100000             | 20          |
| p         | 112        | 01110000             | 70          |
| u         | 117        | 01110101             | 75          |
| r         | 114        | 01110010             | 72          |
| p         | 112        | 01110000             | 70          |
| o         | 111        | 01101111             | 6F          |
| s         | 115        | 01110011             | 73          |
| e         | 101        | 01100101             | 65          |
| s         | 115        | 01110011             | 73          |
| (space)   | 32         | 00100000             | 20          |
| .         | 46         | 00101110             | 2E          |
| .         | 46         | 00101110             | 2E          |
| .         | 46         | 00101110             | 2E          |
